ABS_maximal bms2.dat 60 1.39 1.36 0.04 17470778 10628404 2088 5427
LCM_all mushroom.dat 2000 0.09 0.04 0.02 2021864 1030748 944 6624
fp-zhu_maximal accidents.dat 306000 2.71 2.67 0.04 821209 813973 552 1
apriori-bodon_all bmspos.dat 2000 6.76 6.61 0.07 24241856 23377832 2300 14104
fp-zhu_closed pumsb-star.dat 20000 0.97 0.92 0.04 3345836 2436865 872 2314
apriori-bodon_all bms2.dat 40 4.34 4.30 0.05 14892368 9852412 3836 217942
eclat-borgelt_all bms2.dat 100 1.74 1.72 0.03 13826226 4466506 844 23856
MAFIA_maximal accidents.dat 17000 275.42 274.53 0.43 276268664 44520532 2872 0
aim_all pumsb-star.dat 12500 1.86 1.73 0.08 14769456 8416676 2088 1744792
apriori-bodon_all bmspos.dat 700 33.48 33.41 0.06 29884888 26111428 2684 126120
apriori-bodon_all retail.dat 75 1.23 1.12 0.08 19063712 18463320 2108 9635
fp-zhu_closed pumsb-star.dat 22500 0.90 0.88 0.01 1613354 1371995 680 559
eclat-borgelt_all retail.dat 50 13.58 13.56 0.02 17794106 10489530 524 16779
apriori-bodon_all bms1.dat 80 0.15 0.14 0.01 1408960 1219736 1916 1864
apriori-bodon_all mushroom.dat 2000 0.16 0.15 0.01 308416 248716 3068 6624
ABS_maximal mushroom.dat 600 25.43 25.37 0.05 54590350 16096862 10136 918
DCI-Closed_closed kosarak.dat 6000 3.27 2.88 0.33 22252303 19043931 1320 1111
DCI-Closed_closed chess.dat 2500 0.07 0.04 0.00 284607 194730 1336 6838
LCM_all pumsb.dat 35000 4.24 3.91 0.09 48264880 8475896 1744 1897480
fp-zhu_maximal connect.dat 50000 0.89 0.87 0.01 3526942 838070 1000 985
apriori-borgelt_maximal bms2.dat 30 2.55 2.52 0.04 25575057 23481341 1640 17315
aim_all pumsb-star.dat 17500 0.85 0.83 0.02 13234432 7645060 1656 99698
apriori-bodon_all retail.dat 200 0.72 0.71 0.02 5848240 5530384 1916 2192
MAFIA_maximal mushroom.dat 500 0.13 0.12 0.01 14467984 12166580 1464 0
fp-zhu_maximal pumsb.dat 27500 5.59 5.59 0.01 602172825 8705863 2120 76335
apriori-borgelt_maximal connect.dat 60000 1.30 1.25 0.05 13060963 13060599 1640 269
aim_all pumsb.dat 32500 12.38 12.15 0.03 15822992 9128564 2472 6274507
MAFIA_all mushroom.dat 600 3.37 3.28 0.03 14377920 12145768 664 1
eclat-borgelt_closed retail.dat 40 16.98 16.79 0.17 23924754 13400386 688 22338
eclat-lst_all bms2.dat 80 2.72 2.66 0.02 361326584 346999412 696 43352
fp-zhu_closed pumsb-star.dat 5000 17.29 16.89 0.31 8415257970 32004469 1128 1425243
LCM_closed retail.dat 200 0.43 0.38 0.04 26716090 8977154 8896 2192
LCM_closed connect.dat 60000 0.63 0.54 0.01 9100452 8435236 1216 4373
eclat-lst_all bmspos.dat 1000 10.13 9.87 0.20 952204724 710754012 568 58982
LCM_all retail.dat 100 0.49 0.45 0.03 16606982 8831714 8880 6453
DCI-Closed_closed bms2.dat 100 0.48 0.39 0.04 13964292 13006968 1464 14
MAFIA_maximal chess.dat 2500 0.09 0.04 0.03 15139068 12029264 1720 0
LCM_all bmspos.dat 1000 4.46 4.30 0.16 262866382 48032046 8880 58982
fp-zhu_closed bms1.dat 80 0.18 0.15 0.00 3245795 2606100 632 1857
kDCI_all connect.dat 60000 0.76 0.70 0.07 1595452 676195 1320 1
aim_all pumsb.dat 35000 5.86 5.83 0.04 14908020 8619312 2328 1897480
nonordfp_all accidents.dat 272000 1.24 0.48 0.20 66398277 63200832 4024 150
aim_all chess.dat 1200 5.65 5.64 0.02 665464 556900 2520 9759967
MAFIA_maximal connect.dat 60000 1.02 1.00 0.03 72294312 12446712 1336 0
fp-zhu_maximal pumsb-star.dat 25000 0.88 0.85 0.02 931993 843106 616 17
kDCI_all connect.dat 50000 3.68 3.58 0.11 26234611 13468028 1320 1
ct-pro_all accidents.dat 102000 6.54 5.60 0.91 34186456 28869162 2200 149957
fpgrowth-tiny_all kosarak.dat 8000 9.16 8.81 0.21 158666316 15975452 17752 576
eclat-borgelt_maximal bms2.dat 90 2.10 2.06 0.02 16665862 4731470 1088 2990
LCM_closed bms2.dat 100 0.30 0.27 0.04 20652770 5575774 8896 11825
LCM_maximal bms2.dat 50 0.65 0.58 0.06 60943722 6325630 8880 6946
MAFIA_all accidents.dat 170000 4.67 4.58 0.10 231256584 14302136 664 1
LCM_maximal bms2.dat 20 1.47 1.41 0.07 141435846 6668870 8880 30405
ABS_maximal pumsb.dat 35000 35.19 35.08 0.10 54663163 51967355 2792 10417
